county_name,fips,pop2020,pop_density_perSqMile,perc_pop_65plus,median_HH_income,perc_college_grad
"El Paso County, CO",8041,724738,340.8,13.1747,76961,34.819
"Norfolk County, MA",25021,708325,1788.2,18.2378,112694,48.8097
"District of Columbia, DC",11001,705989,11564.4,15.2153,89680,45.3642
"Jackson County, MO",29095,704043,1164.7,15.9519,65358,28.1122
"Lake County, IL",17097,695969,1568.7,13.5979,104140,41.5274
"Davidson County, TN",47037,694617,1378.1,13.4486,64800,35.8386
"Will County, IL",17197,691843,826.7,12.0915,100886,33.3188
"Bernalillo County, NM",35001,680099,585.9,16.0475,62704,31.6182
"Hudson County, NJ",34017,672831,14566.3,13.5218,77854,36.8613
"Jefferson County, AL",1073,658926,592.9,16.6724,65374,29.8374
"Kent County, MI",26081,658027,776.9,14.3063,69540,32.0842
"Arapahoe County, CO",8005,657609,824,12.916,80572,38.5281
"Tulsa County, OK",40143,652649,1144.5,15.2485,62382,29.3706
"Utah County, UT",49049,639599,319.2,8.8329,81609,34.5879
"Providence County, RI",44007,639097,1560.7,17.016,66422,26.175
"Bucks County, PA",42017,629744,1042.1,18.6806,103611,38.7637
"Monmouth County, NJ",34025,619973,1322.5,17.6795,113200,42.07
"Montgomery County, TX",48339,613316,588.7,14.0481,88364,28.9037
"Ocean County, NJ",34029,610498,970.9,24.9688,83350,28.3511
"Brevard County, FL",12009,607014,597.7,25.5686,68128,27.2051
"Johnson County, KS",20091,604162,1276.3,14.129,101087,52.3223
"Washington County, OR",41067,602808,832.3,12.7578,84934,40.7052
"Williamson County, TX",48491,596980,533.8,11.847,94832,36.0638
"Baltimore city, MD",24510,591025,7301.7,15.4384,58760,25.6855
"Jefferson County, CO",8059,584699,765.1,16.5345,91762,42.3875
"Anne Arundel County, MD",24003,580939,1400.2,15.465,115217,38.3527
"Douglas County, NE",31055,572163,1742,13.8674,72927,36.7082
"Delaware County, PA",42045,567194,3085.2,17.9025,88099,35.5462
"Bristol County, MA",25005,566571,1024.4,18.0567,76386,26.0275
"New Castle County, DE",10003,560636,1315.2,15.6497,88265,33.7743
"Pasco County, FL",12101,560435,750.4,25.399,61296,21.7624
"Volusia County, FL",12127,558323,507.1,26.2463,60519,22.09
"Union County, NJ",34039,557237,5417.7,16.2146,92708,30.6095
"Stanislaus County, CA",6099,552693,369.7,13.8292,63110,15.1987
"Ramsey County, MN",27123,550844,3618.9,14.8245,72204,39.2149
"Dane County, WI",55025,548462,458.1,13.2261,83717,47.1217
"Lancaster County, PA",42071,546497,579,19.0206,76320,25.5837
"Summit County, OH",39153,541823,1312.7,18.6989,68783,29.9538
"Guilford County, NC",37081,538745,834.4,15.6059,64968,32.6904
"Kane County, IL",17089,533112,1025.1,12.575,92117,31.682
"Montgomery County, OH",39113,532475,1153.7,19.3545,61676,25.8129
"Greenville County, SC",45045,526317,670.4,16.5797,67105,31.1249
"Spokane County, WA",53063,526261,298.4,16.7765,66986,28.2073
"Chester County, PA",42029,526101,701,16.6175,115350,48.172
"Plymouth County, MA",25023,522420,792.7,18.127,99514,34.4605
"Adams County, CO",8001,519315,444.8,11.4772,74843,21.0037
"Sedgwick County, KS",20173,516642,517.9,14.9984,68205,28.1052
"Camden County, NJ",34007,507282,2292.7,16.603,84509,28.2893
"Passaic County, NJ",34031,501429,2716.4,15.4967,74996,26.8054
"Sonoma County, CA",6097,494527,313.8,17.1445,81601,32.5859
"Morris County, NJ",34027,492937,1071.2,17.898,130038,49.4407
"Polk County, IA",19153,492228,857.8,14.1715,80146,33.2654
"Clark County, WA",53011,491178,780.9,14.9917,80534,26.7726
"Ada County, ID",16001,487154,462.8,13.8147,75390,33.7225
"Lake County, IN",18089,486289,974.6,17.1197,66670,21.3849
"Richmond County, NY",36085,477025,8172.4,16.4614,97847,31.1759
"Washoe County, NV",32031,475286,75.4,15.7701,71431,27.4865
"Seminole County, FL",12117,473544,1531.4,15.6444,76848,35.5045
"Knox County, TN",47093,471965,928.7,17.0494,67997,33.1901
"Prince William County, VA",51153,470928,1399.9,9.0825,124717,37.3223
"Pinal County, AZ",4021,467550,87.1,18.3632,67127,18.1223
"Hampden County, MA",25013,467210,757.1,18.3849,67768,25.3793
"Tulare County, CA",6107,466926,96.8,12.2362,52424,13.7331
"Onondaga County, NY",36067,460793,592,17.8618,73370,33.0419
"York County, PA",42133,450277,498,18.2368,80472,23.478
"Virginia Beach city, VA",51810,449825,1806.4,13.8705,89386,33.1328
"Solano County, CA",6095,449107,546.5,15.1031,89769,24.4983
"Santa Barbara County, CA",6083,447530,163.6,16.4945,80779,31.8062
"Burlington County, NJ",34005,446432,559,17.7566,104963,35.2193
"East Baton Rouge Parish, LA",22033,439143,964.4,13.9729,67601,32.0845
"Sarasota County, FL",12115,437909,787.8,36.8131,68697,31.7867
"Monterey County, CA",6053,434621,132.5,13.4368,72054,22.1411
"Jefferson Parish, LA",22051,432282,1462.2,17.4678,66586,23.732
"Dakota County, MN",27037,430141,765.1,12.7937,97768,39.8494
"Lucas County, OH",39095,427945,1255.5,16.8262,57852,23.9371
